row_count,row_count
26519,26519
26487,26487
26337,26337
26336,26336
26253,26253
26149,26149
26063,26063
25539,25539
25368,25368
24994,24994
24971,24971
24357,24357
24205,24205
23185,23185
23154,23154
22588,22588
22495,22495
21896,21896
21475,21475
20989,20989
20947,20947
19900,19900
19624,19624
19215,19215
18741,18741
18136,18136
18109,18109
17331,17331
17232,17232
16722,16722
16418,16418
15891,15891
15744,15744
15305,15305
14846,14846
14472,14472
14085,14085
13990,13990
13772,13772
13300,13300
13043,13043
13021,13021
12552,12552
12215,12215
11872,11872
11732,11732
11452,11452
11171,11171
11069,11069
10596,10596
10575,10575
10288,10288
10222,10222
9989,9989
9730,9730
9454,9454
9447,9447
9122,9122
9079,9079
8888,8888
8739,8739
8411,8411
8366,8366
8143,8143
7931,7931
7796,7796
7564,7564
7519,7519
7344,7344
7309,7309
7301,7301
7141,7141
6911,6911
6728,6728
6665,6665
6535,6535
6517,6517
3230,6460
6432,6432
6324,6324
6233,6233
6065,6065
5882,5882
5817,5817
5717,5717
5644,5644
5540,5540
5501,5501
5358,5358
5273,5273
5114,5114
5049,5049
5037,5037
4978,4978
4818,4818
4777,4777
4713,4713
4683,4683
4604,4604
4516,4516
4495,4495
4354,4354
4320,4320
4275,4275
4261,4261
4175,4175
4080,4080
4077,4077
4014,4014
3974,3974
3961,3961
3942,3942
3849,3849
3840,3840
3733,3733
3708,3708
3703,3703
3676,3676
1817,3634
3632,3632
3608,3608
3569,3569
3476,3476
3474,3474
3414,3414
3367,3367
3359,3359
3341,3341
3302,3302
3224,3224
3124,3124
3090,3090
3024,3024
3015,3015
3009,3009
2979,2979
2976,2976
2919,2919
2896,2896
2859,2859
2846,2846
2832,2832
2792,2792
2744,2744
2733,2733
2709,2709
2705,2705
2696,2696
2685,2685
2634,2634
2629,2629
2595,2595
2583,2583
2571,2571
2562,2562
2524,2524
2446,2446
2423,2423
2390,2390
1186,2372
2371,2371
2364,2364
2355,2355
2354,2354
2345,2345
2343,2343
2299,2299
2285,2285
2278,2278
1132,2264
2238,2238
2205,2205
2189,2189
2184,2184
2171,2171
2141,2141
2139,2139
2123,2123
2112,2112
2093,2093
2071,2071
2060,2060
2038,2038
2033,2033
1971,1971
984,1968
1945,1945
1914,1914
1896,1896
1872,1872
1870,1870
1858,1858
1851,1851
1826,1826
1816,1816
1805,1805
901,1802
1779,1779
1761,1761
1724,1724
1721,1721
1713,1713
1675,1675
1665,1665
1652,1652
1650,1650
1640,1640
1635,1635
1634,1634
1626,1626
1613,1613
1590,1590
1587,1587
1574,1574
1561,1561
1548,1548
1526,1526
1503,1503
1498,1498
1487,1487
1481,1481
1474,1474
1439,1439
1435,1435
1421,1421
1410,1410
1399,1399
1392,1392
1385,1385
689,1378
1378,1378
1372,1372
1355,1355
1346,1346
1335,1335
1328,1328
1318,1318
1312,1312
1299,1299
1291,1291
1277,1277
1276,1276
1271,1271
1264,1264
1253,1253
1246,1246
1233,1233
1220,1220
1215,1215
1210,1210
1187,1187
1160,1160
1158,1158
1157,1157
1136,1136
1131,1131
1126,1126
1122,1122
1114,1114
1097,1097
1094,1094
1088,1088
1076,1076
1073,1073
1057,1057
1051,1051
1048,1048
1045,1045
1041,1041
1039,1039
1015,1015
1003,1003
986,986
979,979
488,976
967,967
963,963
960,960
958,958
932,932
922,922
921,921
457,914
908,908
896,896
895,895
893,893
868,868
850,850
846,846
844,844
842,842
839,839
834,834
824,824
811,811
806,806
791,791
782,782
780,780
771,771
384,768
752,752
741,741
739,739
368,736
728,728
709,709
708,708
704,704
703,703
702,702
700,700
340,680
679,679
675,675
665,665
646,646
636,636
635,635
628,628
621,621
611,611
602,602
598,598
597,597
583,583
582,582
571,571
567,567
565,565
563,563
561,561
558,558
552,552
534,534
533,533
527,527
526,526
514,514
505,505
499,499
492,492
485,485
484,484
479,479
465,465
458,458
452,452
443,443
432,432
423,423
421,421
419,419
417,417
415,415
413,413
411,411
409,409
395,395
196,392
65,390
383,383
370,370
357,357
354,354
177,354
348,348
343,343
341,341
325,325
324,324
322,322
319,319
317,317
314,314
313,313
311,311
309,309
153,306
305,305
304,304
50,300
292,292
291,291
290,290
143,286
283,283
278,278
138,276
273,273
136,272
267,267
261,261
257,257
256,256
254,254
253,253
251,251
249,249
122,244
81,243
242,242
241,241
239,239
238,238
237,237
218,218
217,217
108,216
216,216
214,214
213,213
211,211
210,210
203,203
202,202
199,199
197,197
98,196
97,194
189,189
186,186
181,181
180,180
179,179
175,175
58,174
86,172
169,169
42,168
83,166
54,162
159,159
79,158
78,156
154,154
38,152
76,152
150,150
149,149
74,148
146,146
144,144
72,144
71,142
47,141
141,141
137,137
134,134
66,132
132,132
130,130
128,128
127,127
126,126
125,125
31,124
120,120
60,120
17,119
119,119
116,116
113,113
16,112
22,110
109,109
107,107
53,106
52,104
104,104
103,103
102,102
5,100
99,99
11,99
3,96
48,96
19,95
92,92
46,92
90,90
44,88
85,85
84,84
14,84
12,84
4,84
82,82
41,82
20,80
13,78
7,77
25,75
2,74
37,74
36,72
6,72
70,70
35,70
10,70
69,69
68,68
1,68
29,58
57,57
8,56
55,55
27,54
26,52
9,45
43,43
21,42
40,40
39,39
15,30
24,24
23,23
18,18
