Label,row_count
0.88107,26519
0.87867,26487
0.87628,26337
0.88346,26336
0.87388,26253
0.87149,26149
0.88585,26063
0.86910,25539
0.88825,25368
0.89064,24994
0.86670,24971
0.89304,24357
0.86431,24205
0.86191,23185
0.89543,23154
0.85952,22588
0.89783,22495
0.90022,21896
0.85712,21475
0.85473,20989
0.90261,20947
0.90501,19900
0.85234,19624
0.90740,19215
0.84994,18741
0.90980,18136
0.84755,18109
0.84515,17331
0.91219,17232
0.91459,16722
0.84276,16418
0.84036,15891
0.91698,15744
0.83797,15305
0.91937,14846
0.83558,14472
0.92177,14085
0.83318,13990
0.92416,13772
0.83079,13300
0.92656,13043
0.82839,13021
0.92895,12552
0.82600,12215
0.82361,11872
0.93134,11732
0.82121,11452
0.93374,11171
0.81882,11069
0.81642,10596
0.93613,10575
0.93853,10288
0.81403,10222
0.81163,9989
0.94092,9730
0.80924,9454
0.94332,9447
0.94571,9122
0.80685,9079
0.94810,8888
0.80445,8739
0.80206,8411
0.95050,8366
0.79966,8143
0.95289,7931
0.79727,7796
0.79487,7564
0.95529,7519
0.95768,7344
0.96007,7309
0.79248,7301
0.79009,7141
0.96247,6911
0.78769,6728
0.96486,6665
0.78530,6535
0.96726,6517
0.96965,6432
0.78290,6324
0.78051,6233
0.97205,6065
0.77812,5882
0.97444,5817
0.77572,5717
0.97683,5644
0.77333,5540
0.97923,5501
0.77093,5358
0.98162,5273
0.76854,5114
0.76614,5049
0.98402,5037
0.98641,4978
0.76375,4818
0.98881,4777
0.99120,4713
0.76136,4683
0.75896,4604
0.75657,4516
0.99359,4495
0.99838,4354
0.99599,4320
0.75178,4275
0.75417,4261
0.74939,4175
1.00078,4080
1.00317,4077
0.74699,4014
0.74460,3974
0.74220,3961
1.00556,3942
0.73981,3849
1.00796,3840
1.01275,3733
0.73502,3708
0.73741,3703
1.01035,3676
0.73263,3632
1.01514,3608
0.73023,3569
0.72784,3476
1.01754,3474
0.72305,3414
1.02232,3367
1.01993,3359
0.72544,3341
0.72065,3302
1.02472,3230
0.71826,3230
0.71587,3224
0.71347,3124
1.02711,3090
1.02951,3024
0.70390,3015
0.70868,3009
0.71108,2979
1.03190,2976
0.70150,2919
0.70629,2896
0.69671,2859
1.03430,2846
0.69432,2832
1.03908,2792
0.69911,2744
0.69192,2733
1.03669,2709
1.04148,2705
0.68953,2696
1.04627,2685
0.68714,2634
1.04387,2629
0.68235,2595
0.68474,2583
1.04866,2571
0.67995,2562
0.67756,2524
0.67516,2446
1.05105,2423
